150 PA5-A-Debug-Answer.txt 6
  -17.6369   -9.0744  -30.9970  141.9954   33.0035   75.1270
  -32.83     1.41   -15.72       -32.83     1.41   -15.72     0.000
   -4.58    22.61    40.20        -4.58    22.61    40.20     0.000
   21.56     6.61   -32.60        21.56     6.61   -32.60     0.000
   -5.27    -3.02    50.96        -5.27    -3.02    50.96     0.000
   26.29    15.39    32.89        26.29    15.39    32.89     0.000
    8.97    22.93    23.65         8.97    22.93    23.65     0.000
  -18.16    10.14   -23.79       -18.16    10.14   -23.79     0.000
   -6.47   -23.08   -22.53        -6.47   -23.08   -22.53     0.000
   -4.99   -19.28   -39.84        -4.99   -19.28   -39.84     0.000
   10.10   -13.14    -2.29        10.10   -13.14    -2.29     0.000
   -0.63   -16.10   -10.37        -0.63   -16.10   -10.37     0.000
   28.62    -0.04    34.57        28.62    -0.04    34.57     0.000
   -6.52   -22.20   -21.05        -6.52   -22.20   -21.05     0.000
  -13.66   -26.53   -37.38       -13.66   -26.53   -37.38     0.000
   39.71    10.48     8.22        39.71    10.48     8.22     0.000
   29.66    -9.77     8.54        29.66    -9.77     8.54     0.000
    1.92    -1.93   -23.77         1.92    -1.93   -23.77     0.000
   21.08    12.93   -30.51        21.08    12.93   -30.51     0.000
   23.19    18.56    28.38        23.19    18.56    28.38     0.000
   22.30    21.20    16.18        22.30    21.20    16.18     0.000
  -14.90     7.12   -12.33       -14.90     7.12   -12.33     0.000
  -28.30   -15.56   -44.28       -28.30   -15.56   -44.28     0.000
   -3.22     4.35   -23.41        -3.22     4.35   -23.41     0.000
   12.16     7.82   -19.09        12.16     7.82   -19.09     0.000
    5.06    -2.21    61.05         5.06    -2.21    61.05     0.000
   32.14   -10.73     4.92        32.14   -10.73     4.92     0.000
   23.58     0.76    54.18        23.58     0.76    54.18     0.000
   41.23     0.63    12.03        41.23     0.63    12.03     0.000
  -36.74   -15.04   -33.87       -36.74   -15.04   -33.87     0.000
   37.54    -6.46    11.38        37.54    -6.46    11.38     0.000
   -5.31    23.36    29.71        -5.31    23.36    29.71     0.000
   26.26   -12.49    -0.12        26.26   -12.49    -0.12     0.000
  -22.01     9.51   -22.67       -22.01     9.51   -22.67     0.000
   -3.85     6.65   -18.32        -3.85     6.65   -18.32     0.000
    8.80    -6.87    48.17         8.80    -6.87    48.17     0.000
   -1.14    22.00    53.27        -1.14    22.00    53.27     0.000
   29.99    13.18   -19.27        29.99    13.18   -19.27     0.000
   -6.63     6.83   -23.33        -6.63     6.83   -23.33     0.000
  -37.22   -19.39   -19.02       -37.22   -19.39   -19.02     0.000
   33.53    -9.88    -6.74        33.53    -9.88    -6.74     0.000
  -27.22   -15.99   -44.63       -27.22   -15.99   -44.63     0.000
   -3.28     2.26   -28.09        -3.28     2.26   -28.09     0.000
   -1.57    22.23     8.49        -1.57    22.23     8.49     0.000
  -32.60     3.64   -35.33       -32.60     3.64   -35.33     0.000
   15.75    22.23    41.29        15.75    22.23    41.29     0.000
   22.60    19.26    46.54        22.60    19.26    46.54     0.000
   31.19    -1.95    26.52        31.19    -1.95    26.52     0.000
   21.95    -7.53    20.19        21.95    -7.53    20.19     0.000
   25.20    -5.61    29.09        25.20    -5.61    29.09     0.000
   20.99    -5.76    38.61        20.99    -5.76    38.61     0.000
   23.83     5.09    58.96        23.83     5.09    58.96     0.000
   21.30    22.12     9.83        21.30    22.12     9.83     0.000
    6.79    22.71    29.42         6.79    22.71    29.42     0.000
  -10.70    14.14    12.40       -10.70    14.14    12.40     0.000
  -10.02    11.83     2.15       -10.02    11.83     2.15     0.000
  -34.01    -3.25   -13.93       -34.01    -3.25   -13.93     0.000
   -1.56   -17.87   -25.26        -1.56   -17.87   -25.26     0.000
    6.32    -9.06    14.37         6.32    -9.06    14.37     0.000
  -27.77   -27.27   -19.95       -27.77   -27.27   -19.95     0.000
   30.17   -11.90    -1.04        30.17   -11.90    -1.04     0.000
  -37.22   -19.62   -19.28       -37.22   -19.62   -19.28     0.000
  -22.18     9.85   -34.09       -22.18     9.85   -34.09     0.000
  -39.08   -17.96   -27.01       -39.08   -17.96   -27.01     0.000
   -3.12    -6.15    46.57        -3.12    -6.15    46.57     0.000
   10.25    22.41    37.10        10.25    22.41    37.10     0.000
    2.94    -8.33    23.53         2.94    -8.33    23.53     0.000
  -29.46     4.43   -38.28       -29.46     4.43   -38.28     0.000
   27.40     9.34    44.74        27.40     9.34    44.74     0.000
   37.75    -6.27    11.45        37.75    -6.27    11.45     0.000
    2.58    -8.28    25.95         2.58    -8.28    25.95     0.000
   -0.98   -13.24   -37.71        -0.98   -13.24   -37.71     0.000
  -32.57     1.83   -16.07       -32.57     1.83   -16.07     0.000
   -8.67   -23.39   -38.59        -8.67   -23.39   -38.59     0.000
  -33.60     5.96   -21.70       -33.60     5.96   -21.70     0.000
   -6.73    20.49    47.32        -6.73    20.49    47.32     0.000
  -20.55   -25.94   -13.50       -20.55   -25.94   -13.50     0.000
  -39.91    -1.58   -27.02       -39.91    -1.58   -27.02     0.000
   32.83   -10.48    -6.27        32.83   -10.48    -6.27     0.000
   35.81    -5.05   -12.71        35.81    -5.05   -12.71     0.000
   -1.01    23.02    39.42        -1.01    23.02    39.42     0.000
  -19.58     0.60    -0.65       -19.58     0.60    -0.65     0.000
  -11.75   -26.63   -35.53       -11.75   -26.63   -35.53     0.000
  -11.53    -0.11    27.26       -11.53    -0.11    27.26     0.000
  -22.36    -8.35    -4.30       -22.36    -8.35    -4.30     0.000
  -12.64     9.23   -27.44       -12.64     9.23   -27.44     0.000
  -10.46   -12.46   -45.83       -10.46   -12.46   -45.83     0.000
   28.07    -6.29    20.13        28.07    -6.29    20.13     0.000
   29.13     7.81    35.41        29.13     7.81    35.41     0.000
   -6.92   -18.95   -41.05        -6.92   -18.95   -41.05     0.000
  -37.39     1.82   -27.71       -37.39     1.82   -27.71     0.000
   26.00    -3.58    34.50        26.00    -3.58    34.50     0.000
  -23.13    -1.59   -45.70       -23.13    -1.59   -45.70     0.000
  -34.10   -10.95   -40.99       -34.10   -10.95   -40.99     0.000
   19.36    -6.07    37.52        19.36    -6.07    37.52     0.000
   38.59    11.27     3.47        38.59    11.27     3.47     0.000
  -13.08   -29.06   -26.80       -13.08   -29.06   -26.80     0.000
   39.49    -1.26    -6.26        39.49    -1.26    -6.26     0.000
   15.71   -14.03     1.03        15.71   -14.03     1.03     0.000
   21.88    20.20    56.94        21.88    20.20    56.94     0.000
  -28.34     6.88   -15.97       -28.34     6.88   -15.97     0.000
   -5.42    -8.47   -47.20        -5.42    -8.47   -47.20     0.000
    2.29    24.66     6.85         2.29    24.66     6.85     0.000
   -8.34   -13.75    -4.09        -8.34   -13.75    -4.09     0.000
   -6.49   -18.00   -11.41        -6.49   -18.00   -11.41     0.000
   27.26    -4.17    29.27        27.26    -4.17    29.27     0.000
  -39.67    -2.43   -22.32       -39.67    -2.43   -22.32     0.000
   36.28    -6.37     4.98        36.28    -6.37     4.98     0.000
   15.09    22.81    21.86        15.09    22.81    21.86     0.000
   -8.26   -23.70   -37.59        -8.26   -23.70   -37.59     0.000
   19.06    -3.43    59.54        19.06    -3.43    59.54     0.000
  -13.88    21.77    32.52       -13.88    21.77    32.52     0.000
  -33.13   -18.60   -13.18       -33.13   -18.60   -13.18     0.000
   -2.39    20.82    57.01        -2.39    20.82    57.01     0.000
  -24.69   -28.35   -32.15       -24.69   -28.35   -32.15     0.000
   26.30    14.64    45.40        26.30    14.64    45.40     0.000
  -19.45   -30.07   -30.65       -19.45   -30.07   -30.65     0.000
   24.91    22.34     1.34        24.91    22.34     1.34     0.000
   31.77    -4.41    21.57        31.77    -4.41    21.57     0.000
  -10.16    -7.86    18.93       -10.16    -7.86    18.93     0.000
   -6.61     0.32    48.80        -6.61     0.32    48.80     0.000
   30.26   -11.99    -7.02        30.26   -11.99    -7.02     0.000
   12.76    15.09   -32.41        12.76    15.09   -32.41     0.000
  -13.08     9.94     3.98       -13.08     9.94     3.98     0.000
  -23.18     8.47   -16.39       -23.18     8.47   -16.39     0.000
   25.49    -6.61    23.12        25.49    -6.61    23.12     0.000
    8.25    13.50   -24.36         8.25    13.50   -24.36     0.000
   36.10    13.12    -2.67        36.10    13.12    -2.67     0.000
   21.55    22.95     2.96        21.55    22.95     2.96     0.000
   18.37    23.83     2.85        18.37    23.83     2.85     0.000
  -30.42   -26.45   -28.56       -30.42   -26.45   -28.56     0.000
   23.18   -11.07   -23.08        23.18   -11.07   -23.08     0.000
    1.91    23.31    30.19         1.91    23.31    30.19     0.000
  -29.13     5.66   -37.77       -29.13     5.66   -37.77     0.000
   20.39    -3.42    53.47        20.39    -3.42    53.47     0.000
  -33.53    -9.30   -41.87       -33.53    -9.30   -41.87     0.000
   12.40    -6.70    42.22        12.40    -6.70    42.22     0.000
   19.27    21.69   -23.45        19.27    21.69   -23.45     0.000
    1.59    -8.39   -28.63         1.59    -8.39   -28.63     0.000
   21.96   -10.92     3.53        21.96   -10.92     3.53     0.000
  -13.36     1.63    22.56       -13.36     1.63    22.56     0.000
   18.70    -3.24   -21.07        18.70    -3.24   -21.07     0.000
  -20.89   -29.86   -25.75       -20.89   -29.86   -25.75     0.000
  -19.44     2.40    -3.80       -19.44     2.40    -3.80     0.000
   13.55    -7.38    25.32        13.55    -7.38    25.32     0.000
   26.74    18.86   -20.58        26.74    18.86   -20.58     0.000
  -11.14    22.35    30.90       -11.14    22.35    30.90     0.000
   42.73     1.92     9.22        42.73     1.92     9.22     0.000
   26.94    14.43    38.21        26.94    14.43    38.21     0.000
   35.60     6.93    17.88        35.60     6.93    17.88     0.000
   13.99    23.84    58.42        13.99    23.84    58.42     0.000
