150 PA5-B-Debug-Output.txt 6
   51.7716  140.8189   88.2677   -8.4774  -46.6682    4.2779
    6.88     5.37   -14.95         6.88     5.37   -14.95     0.000
  -19.86   -30.69   -19.00       -19.86   -30.69   -19.00     0.000
  -35.48   -14.36   -48.17       -35.48   -14.36   -48.17     0.000
   33.80    -2.23   -10.36        33.80    -2.23   -10.36     0.000
   18.86    16.06    63.78        18.86    16.06    63.78     0.000
   -5.07   -13.17   -43.53        -5.07   -13.17   -43.53     0.000
  -13.23    21.82    23.23       -13.23    21.82    23.23     0.000
  -16.80    -2.97    -3.45       -16.80    -2.97    -3.45     0.000
   -3.70     7.58    65.81        -3.70     7.58    65.81     0.000
    9.27    23.87     9.89         9.27    23.87     9.89     0.000
  -18.26     2.18   -14.01       -18.26     2.18   -14.01     0.000
    0.81   -10.63   -26.67         0.81   -10.63   -26.67     0.000
   19.59    21.23    24.83        19.59    21.23    24.83     0.000
   -3.73     0.91    53.66        -3.73     0.91    53.66     0.000
   27.54     8.68    22.17        27.54     8.68    22.17     0.000
   32.74    -3.81    -9.65        32.74    -3.81    -9.65     0.000
   19.27    -3.67    19.38        19.27    -3.67    19.38     0.000
   25.06    13.18    24.02        25.06    13.18    24.02     0.000
  -13.30    19.02    23.02       -13.30    19.02    23.02     0.000
   17.26    21.77    40.56        17.26    21.77    40.56     0.000
  -36.30     1.99   -23.08       -36.30     1.99   -23.08     0.000
   33.97    10.74    -7.49        33.97    10.74    -7.49     0.000
  -13.68    -7.30   -49.89       -13.68    -7.30   -49.89     0.000
   19.83    23.68     4.54        19.83    23.68     4.54     0.000
   29.72     9.63   -23.29        29.72     9.63   -23.29     0.000
   -7.95   -15.28    -7.59        -7.95   -15.28    -7.59     0.000
   13.13    23.39    -2.79        13.13    23.39    -2.79     0.000
   20.97    -5.73     5.88        20.97    -5.73     5.88     0.000
  -29.71     4.44   -18.72       -29.71     4.44   -18.72     0.000
    3.70    12.09    -3.98         3.70    12.09    -3.98     0.000
   15.56    -3.98   -24.48        15.56    -3.98   -24.48     0.000
   22.13     0.36    51.11        22.13     0.36    51.11     0.000
  -26.88   -13.28    -9.65       -26.88   -13.28    -9.65     0.000
   -4.75     5.56    65.00        -4.75     5.56    65.00     0.000
   -3.39    17.36    11.90        -3.39    17.36    11.90     0.000
   -2.71    -0.38    60.11        -2.71    -0.38    60.11     0.000
   -4.70     3.00    35.73        -4.70     3.00    35.73     0.000
    1.68   -14.63    -6.62         1.68   -14.63    -6.62     0.000
   14.02    -3.91    17.87        14.02    -3.91    17.87     0.000
   -1.54     1.74    68.97        -1.54     1.74    68.97     0.000
    0.32   -14.94    -6.97         0.32   -14.94    -6.97     0.000
  -21.29     7.59   -22.71       -21.29     7.59   -22.71     0.000
   22.48     8.08    68.17        22.48     8.08    68.17     0.000
  -26.45   -15.43   -10.26       -26.45   -15.43   -10.26     0.000
    2.75     7.98    68.85         2.75     7.98    68.85     0.000
    3.38   -16.11   -16.56         3.38   -16.11   -16.56     0.000
  -30.62   -27.87   -41.18       -30.62   -27.87   -41.18     0.000
  -39.81   -17.63   -19.27       -39.81   -17.63   -19.27     0.000
   31.15     9.26   -17.25        31.15     9.26   -17.25     0.000
   -2.34    18.94    38.93        -2.34    18.94    38.93     0.000
    7.66    18.81    64.48         7.66    18.81    64.48     0.000
   -7.25   -25.22   -39.18        -7.25   -25.22   -39.18     0.000
   -4.48     1.42    46.20        -4.48     1.42    46.20     0.000
   -9.71     5.02     6.37        -9.71     5.02     6.37     0.000
  -38.71   -23.95   -37.76       -38.71   -23.95   -37.76     0.000
   -8.09     8.78    15.54        -8.09     8.78    15.54     0.000
   17.89    22.39   -13.14        17.89    22.39   -13.14     0.000
    7.25   -12.75   -18.93         7.25   -12.75   -18.93     0.000
    4.51    -4.47    61.62         4.51    -4.47    61.62     0.000
   36.10     2.31     5.69        36.10     2.31     5.69     0.000
  -11.16   -18.64   -47.94       -11.16   -18.64   -47.94     0.000
   25.40   -10.69   -19.55        25.40   -10.69   -19.55     0.000
   28.54     2.11   -28.80        28.54     2.11   -28.80     0.000
   16.82    22.47    22.03        16.82    22.47    22.03     0.000
   -4.46     4.66    54.24        -4.46     4.66    54.24     0.000
  -29.50   -17.53   -49.66       -29.50   -17.53   -49.66     0.000
   14.02    10.10   -21.14        14.02    10.10   -21.14     0.000
  -32.21   -17.27   -11.91       -32.21   -17.27   -11.91     0.000
   -0.94    17.89    42.62        -0.94    17.89    42.62     0.000
   30.18    -0.26    18.10        30.18    -0.26    18.10     0.000
   15.05    21.75    46.26        15.05    21.75    46.26     0.000
   -6.67     2.70    20.06        -6.67     2.70    20.06     0.000
  -45.42   -15.67   -33.48       -45.42   -15.67   -33.48     0.000
   13.85   -10.29     1.73        13.85   -10.29     1.73     0.000
   34.07     7.28   -11.41        34.07     7.28   -11.41     0.000
   23.69    11.84   -25.72        23.69    11.84   -25.72     0.000
  -10.74   -13.33   -48.87       -10.74   -13.33   -48.87     0.000
  -11.95   -25.97   -42.98       -11.95   -25.97   -42.98     0.000
   11.14    22.32    32.79        11.14    22.32    32.79     0.000
   23.92     5.72    53.90        23.92     5.72    53.90     0.000
   -3.36     8.07    66.66        -3.36     8.07    66.66     0.000
    9.61    -3.43    42.50         9.61    -3.43    42.50     0.000
   26.25     7.61    31.32        26.25     7.61    31.32     0.000
    4.73    16.01     0.92         4.73    16.01     0.92     0.000
  -32.29     3.49   -41.54       -32.29     3.49   -41.54     0.000
   18.15    -3.32    21.99        18.15    -3.32    21.99     0.000
   21.31    12.79    62.47        21.31    12.79    62.47     0.000
   -5.67    -6.60    16.56        -5.67    -6.60    16.56     0.000
    6.64    18.96    53.75         6.64    18.96    53.75     0.000
   10.51    -4.83    66.38        10.51    -4.83    66.38     0.000
  -31.43   -17.95   -11.65       -31.43   -17.95   -11.65     0.000
   33.21    11.47   -10.68        33.21    11.47   -10.68     0.000
   23.18     9.96    55.32        23.18     9.96    55.32     0.000
  -20.53     8.93   -34.51       -20.53     8.93   -34.51     0.000
   -4.60     3.92   -22.44        -4.60     3.92   -22.44     0.000
   21.28    -2.72   -25.00        21.28    -2.72   -25.00     0.000
    0.09    18.20    43.61         0.09    18.20    43.61     0.000
  -38.38    -0.62   -40.13       -38.38    -0.62   -40.13     0.000
   25.72    18.48   -19.45        25.72    18.48   -19.45     0.000
   33.19     3.33    11.89        33.19     3.33    11.89     0.000
   -0.43    -2.47    68.36        -0.43    -2.47    68.36     0.000
   32.08    -3.01   -22.28        32.08    -3.01   -22.28     0.000
  -37.46   -23.75   -22.24       -37.46   -23.75   -22.24     0.000
  -17.23     2.37   -13.56       -17.23     2.37   -13.56     0.000
   -1.65    11.68    51.67        -1.65    11.68    51.67     0.000
  -13.74    19.31    25.30       -13.74    19.31    25.30     0.000
  -14.37   -31.33   -34.30       -14.37   -31.33   -34.30     0.000
    0.22    15.45     6.79         0.22    15.45     6.79     0.000
   -4.81    -0.57   -32.64        -4.81    -0.57   -32.64     0.000
  -12.88   -31.12   -32.68       -12.88   -31.12   -32.68     0.000
   37.23     7.02     5.18        37.23     7.02     5.18     0.000
   -1.26     9.92    -2.14        -1.26     9.92    -2.14     0.000
   19.06     6.09   -25.73        19.06     6.09   -25.73     0.000
  -40.07   -15.41   -43.71       -40.07   -15.41   -43.71     0.000
   -4.15    -9.98   -42.99        -4.15    -9.98   -42.99     0.000
    4.14   -13.83    -5.00         4.14   -13.83    -5.00     0.000
    9.84    17.18    -9.21         9.84    17.18    -9.21     0.000
   -8.37    12.10    15.41        -8.37    12.10    15.41     0.000
  -28.13     6.28   -20.14       -28.13     6.28   -20.14     0.000
   -3.74   -10.05   -42.05        -3.74   -10.05   -42.05     0.000
    9.35    -4.79   -22.49         9.35    -4.79   -22.49     0.000
   22.21    18.25    24.73        22.21    18.25    24.73     0.000
   25.84     0.82    30.94        25.84     0.82    30.94     0.000
   12.72    22.27    34.71        12.72    22.27    34.71     0.000
   28.80    16.85    -4.05        28.80    16.85    -4.05     0.000
  -10.89    25.55    21.14       -10.89    25.55    21.14     0.000
  -11.19    19.14    31.05       -11.19    19.14    31.05     0.000
  -28.13     8.55   -25.76       -28.13     8.55   -25.76     0.000
   -5.94    24.69    32.27        -5.94    24.69    32.27     0.000
  -24.97    -0.78   -15.89       -24.97    -0.78   -15.89     0.000
   10.89    23.66    21.44        10.89    23.66    21.44     0.000
    1.10    25.06    16.59         1.10    25.06    16.59     0.000
  -40.09    -4.05   -41.01       -40.09    -4.05   -41.01     0.000
   31.47     2.69   -23.24        31.47     2.69   -23.24     0.000
  -39.09    -0.34   -24.66       -39.09    -0.34   -24.66     0.000
   -5.26     1.01   -34.15        -5.26     1.01   -34.15     0.000
  -20.16   -33.04   -32.39       -20.16   -33.04   -32.39     0.000
   31.39    -3.91    11.68        31.39    -3.91    11.68     0.000
  -18.54     1.66   -47.15       -18.54     1.66   -47.15     0.000
   16.89    -4.96   -23.99        16.89    -4.96   -23.99     0.000
   -5.81     1.58   -31.73        -5.81     1.58   -31.73     0.000
   17.77     5.29    69.40        17.77     5.29    69.40     0.000
   17.32    -5.36     9.16        17.32    -5.36     9.16     0.000
   28.96     7.72   -28.32        28.96     7.72   -28.32     0.000
   24.38    21.44    -1.44        24.38    21.44    -1.44     0.000
  -11.96     7.36   -27.83       -11.96     7.36   -27.83     0.000
   20.17    -6.77     2.28        20.17    -6.77     2.28     0.000
   -9.66    -7.10     6.69        -9.66    -7.10     6.69     0.000
   -7.81     0.61   -40.06        -7.81     0.61   -40.06     0.000
   15.73     3.73   -21.84        15.73     3.73   -21.84     0.000
