150 PA5-C-Debug-Output.txt 6
   75.9478   -5.0931  -42.3485  -39.5310  -14.3052  -28.2670
   22.98    11.81    30.66        22.98    11.81    30.66     0.000
  -23.75   -24.54    -7.25       -23.75   -24.54    -7.25     0.000
  -37.97     4.68   -26.20       -37.97     4.68   -26.20     0.000
   13.19    21.44    31.68        13.19    21.44    31.68     0.000
  -11.92     4.76    -4.92       -11.92     4.76    -4.92     0.000
    7.17    19.59    44.36         7.17    19.59    44.36     0.000
   -9.56    -5.61     7.86        -9.56    -5.61     7.86     0.000
    3.16   -13.92   -25.73         3.16   -13.92   -25.73     0.000
   -4.26    -0.59   -34.41        -4.26    -0.59   -34.41     0.000
    8.75    24.06    13.56         8.75    24.06    13.56     0.000
   -8.69     9.05    38.25        -8.69     9.05    38.25     0.000
  -14.66   -32.74   -23.09       -14.66   -32.74   -23.09     0.000
   26.43     1.46    17.50        26.43     1.46    17.50     0.000
  -16.16    20.33    26.49       -16.16    20.33    26.49     0.000
   15.02    -2.28    57.79        15.02    -2.28    57.79     0.000
  -35.52   -18.83   -40.56       -35.52   -18.83   -40.56     0.000
   13.20    -9.29   -24.84        13.20    -9.29   -24.84     0.000
  -36.92   -14.30    -8.82       -36.92   -14.30    -8.82     0.000
    9.87     9.76   -15.11         9.87     9.76   -15.11     0.000
   24.28     7.98   -31.99        24.28     7.98   -31.99     0.000
   -5.41    12.92    53.53        -5.41    12.92    53.53     0.000
    1.11    -6.94    64.01         1.11    -6.94    64.01     0.000
  -41.26     0.69   -27.66       -41.26     0.69   -27.66     0.000
  -32.85   -15.59   -44.54       -32.85   -15.59   -44.54     0.000
    1.45    18.21     5.09         1.45    18.21     5.09     0.000
   18.54     7.32   -27.39        18.54     7.32   -27.39     0.000
  -22.25     6.76   -40.46       -22.25     6.76   -40.46     0.000
   -5.92   -13.95    -1.96        -5.92   -13.95    -1.96     0.000
    1.51    19.58     7.44         1.51    19.58     7.44     0.000
  -27.40   -14.13    -3.74       -27.40   -14.13    -3.74     0.000
  -10.93   -27.48   -38.79       -10.93   -27.48   -38.79     0.000
   33.11    11.07     9.44        33.11    11.07     9.44     0.000
  -32.27     5.40   -37.43       -32.27     5.40   -37.43     0.000
   32.37    19.48   -13.54        32.37    19.48   -13.54     0.000
   25.77     7.81   -32.33        25.77     7.81   -32.33     0.000
   13.14    18.05   -16.78        13.14    18.05   -16.78     0.000
  -13.15    11.03    33.04       -13.15    11.03    33.04     0.000
    9.64    25.23     3.79         9.64    25.23     3.79     0.000
   36.80    -2.48    -7.97        36.80    -2.48    -7.97     0.000
   -2.10    14.85     6.60        -2.10    14.85     6.60     0.000
   11.43    19.02   -26.25        11.43    19.02   -26.25     0.000
    6.36    17.22    -4.65         6.36    17.22    -4.65     0.000
